Name,Arizona Diamondbacks,Atlanta Braves,Baltimore Orioles,Boston Red Sox,Chicago Cubs,Chicago White Sox,Cincinnati Reds,Cleveland Guardians,Colorado Rockies,Detroit Tigers,Houston Astros,Kansas City Royals,Los Angeles Angels,Los Angeles Dodgers,Miami Marlins,Milwaukee Brewers,Minnesota Twins,New York Mets,New York Yankees,Athletics,Philadelphia Phillies,Pittsburgh Pirates,San Diego Padres,San Francisco Giants,Seattle Mariners,St. Louis Cardinals,Tampa Bay Rays,Texas Rangers,Toronto Blue Jays,Washington Nationals
Rayn,Over 79.5,Under 87.5,Over 85.5,Under 87.5,Under 88.5,Under 67.5,Over 80.5,Over 78.5,Over 55.5,Under 85.5,Over 85.5,Under 82.5,Over 70.5,Under 103.5,Over 72.5,Over 84.5,Under 72.5,Over 90.5,Over 90.5,Under 75.5,Over 89.5,Over 78.5,Under 83.5,Under 80.5,Over 90.5,Under 69.5,Over 76.5,Under 83.5,Over 88.5,Under 64.5
Derek,Over 79.5,Under 87.5,Over 85.5,Under 87.5,Under 88.5,Under 67.5,Over 80.5,Over 78.5,Under 55.5,Under 85.5,Over 85.5,Under 82.5,Under 70.5,Over 103.5,Over 72.5,Over 84.5,Under 72.5,Over 90.5,Over 90.5,Under 75.5,Over 89.5,Over 78.5,Under 83.5,Over 80.5,Under 90.5,Over 69.5,Over 76.5,Over 83.5,Under 88.5,Under 64.5
David,Over 79.5,Over 87.5,Over 85.5,Under 87.5,Over 88.5,Under 67.5,Under 80.5,Over 78.5,Under 55.5,Under 85.5,Under 85.5,Over 82.5,Under 70.5,Under 103.5,Over 72.5,Over 84.5,Under 72.5,Under 90.5,Over 90.5,Over 75.5,Over 89.5,Over 78.5,Under 83.5,Under 80.5,Under 90.5,Over 69.5,Under 76.5,Under 83.5,Over 88.5,Over 64.5
Greg B,Under 79.5,Under 87.5,Over 85.5,Over 87.5,Under 88.5,Under 67.5,Under 80.5,Under 78.5,Under 55.5,Under 85.5,Under 85.5,Over 82.5,Over 70.5,Under 103.5,Over 72.5,Under 84.5,Under 72.5,Over 90.5,Under 90.5,Over 75.5,Under 89.5,Over 78.5,Over 83.5,Over 80.5,Under 90.5,Under 69.5,Over 76.5,Over 83.5,Under 88.5,Under 64.5
Cody,Over 79.5,Over 87.5,Under 85.5,Under 87.5,Under 88.5,Over 67.5,Under 80.5,Under 78.5,Over 55.5,Over 85.5,Under 85.5,Over 82.5,Over 70.5,Under 103.5,Over 72.5,Under 84.5,Over 72.5,Under 90.5,Under 90.5,Over 75.5,Under 89.5,Over 78.5,Under 83.5,Over 80.5,Over 90.5,Over 69.5,Over 76.5,Under 83.5,Under 88.5,Over 64.5
Richard,Over 79.5,Under 87.5,Under 85.5,Over 87.5,Over 88.5,Over 67.5,Over 80.5,Over 78.5,Under 55.5,Over 85.5,Over 85.5,Over 82.5,Under 70.5,Over 103.5,Under 72.5,Over 84.5,Under 72.5,Under 90.5,Over 90.5,Under 75.5,Under 89.5,Over 78.5,Over 83.5,Over 80.5,Under 90.5,Under 69.5,Over 76.5,Over 83.5,Over 88.5,Under 64.5
Robert R,Over 79.5,Over 87.5,Under 85.5,Under 87.5,Under 88.5,Over 67.5,Under 80.5,Over 78.5,Over 55.5,Over 85.5,Under 85.5,Under 82.5,Over 70.5,Under 103.5,Over 72.5,Under 84.5,Over 72.5,Under 90.5,Under 90.5,Over 75.5,Under 89.5,Over 78.5,Under 83.5,Under 80.5,Under 90.5,Over 69.5,Over 76.5,Under 83.5,Under 88.5,Over 64.5
Tim,Under 79.5,Over 87.5,Over 85.5,Under 87.5,Over 88.5,Over 67.5,Over 80.5,Under 78.5,Over 55.5,Over 85.5,Over 85.5,Over 82.5,Under 70.5,Under 103.5,Under 72.5,Over 84.5,Over 72.5,Under 90.5,Over 90.5,Under 75.5,Over 89.5,Over 78.5,Under 83.5,Over 80.5,Under 90.5,Over 69.5,Under 76.5,Over 83.5,Under 88.5,Over 64.5
Max,Under 79.5,Over 87.5,Over 85.5,Over 87.5,Over 88.5,Under 67.5,Over 80.5,Over 78.5,Under 55.5,Over 85.5,Over 85.5,Over 82.5,Under 70.5,Under 103.5,Over 72.5,Over 84.5,Under 72.5,Over 90.5,Over 90.5,Over 75.5,Over 89.5,Over 78.5,Over 83.5,Over 80.5,Over 90.5,Over 69.5,Under 76.5,Over 83.5,Over 88.5,Over 64.5
Matt D,Under 79.5,Under 87.5,Under 85.5,Over 87.5,Over 88.5,Under 67.5,Under 80.5,Under 78.5,Over 55.5,Under 85.5,Over 85.5,Over 82.5,Under 70.5,Under 103.5,Over 72.5,Over 84.5,Under 72.5,Over 90.5,Under 90.5,Under 75.5,Under 89.5,Over 78.5,Over 83.5,Under 80.5,Over 90.5,Under 69.5,Under 76.5,Under 83.5,Over 88.5,Under 64.5
Vince,Under 79.5,Over 87.5,Over 85.5,Under 87.5,Over 88.5,Under 67.5,Over 80.5,Over 78.5,Over 55.5,Under 85.5,Under 85.5,Under 82.5,Under 70.5,Under 103.5,Under 72.5,Under 84.5,Over 72.5,Over 90.5,Under 90.5,Over 75.5,Under 89.5,Under 78.5,Under 83.5,Under 80.5,Over 90.5,Under 69.5,Over 76.5,Under 83.5,Under 88.5,Under 64.5
Harold,Under 79.5,Over 87.5,Under 85.5,Over 87.5,Over 88.5,Under 67.5,Under 80.5,Over 78.5,Under 55.5,Over 85.5,Over 85.5,Over 82.5,Under 70.5,Under 103.5,Under 72.5,Over 84.5,Under 72.5,Under 90.5,Under 90.5,Over 75.5,Under 89.5,Under 78.5,Over 83.5,Under 80.5,Over 90.5,Over 69.5,Under 76.5,Over 83.5,Over 88.5,Under 64.5
Greg D,Over 79.5,Under 87.5,Under 85.5,Over 87.5,Under 88.5,Over 67.5,Under 80.5,Over 78.5,Under 55.5,Over 85.5,Under 85.5,Over 82.5,Under 70.5,Under 103.5,Over 72.5,Under 84.5,Over 72.5,Under 90.5,Over 90.5,Over 75.5,Under 89.5,Over 78.5,Under 83.5,Under 80.5,Under 90.5,Over 69.5,Over 76.5,Over 83.5,Over 88.5,Over 64.5
